#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Staphylococcus aureus DAR3586,DAR3586,19988,SAMN02403688 ,PRJNA228219,Terrabacteria group,Firmicutes,GCA_000607665.1 ,2.85186,32.9,-,JGOI01,7,2991,2822,2014/3/27,2017/3/4,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/665/GCF_000607665.1_Stap_aure_DAR3586_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/665/GCA_000607665.1_Stap_aure_DAR3586_V1
Staphylococcus aureus DAR3587,DAR3587,19988,SAMN02403689 ,PRJNA228220,Terrabacteria group,Firmicutes,GCA_000607685.1 ,2.90585,32.8,-,JGOJ01,10,3049,2877,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/685/GCF_000607685.1_Stap_aure_DAR3587_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/685/GCA_000607685.1_Stap_aure_DAR3587_V1
Staphylococcus aureus DAR3590,DAR3590,19988,SAMN02403690 ,PRJNA228221,Terrabacteria group,Firmicutes,GCA_000607705.1 ,2.90791,32.8,-,JGOK01,8,3046,2876,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/705/GCF_000607705.1_Stap_aure_DAR3590_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/705/GCA_000607705.1_Stap_aure_DAR3590_V1
Staphylococcus aureus DAR3591,DAR3591,19988,SAMN02403691 ,PRJNA228222,Terrabacteria group,Firmicutes,GCA_000607725.1 ,2.77627,32.8,-,JGOL01,10,2875,2718,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/725/GCF_000607725.1_Stap_aure_DAR3591_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/725/GCA_000607725.1_Stap_aure_DAR3591_V1
Staphylococcus aureus DAR3592,DAR3592,19988,SAMN02403692 ,PRJNA228223,Terrabacteria group,Firmicutes,GCA_000607745.1 ,2.86001,32.8,-,JGOM01,9,2998,2837,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/745/GCF_000607745.1_Stap_aure_DAR3592_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/745/GCA_000607745.1_Stap_aure_DAR3592_V1
Staphylococcus aureus DAR3596,DAR3596,19988,SAMN02403693 ,PRJNA228224,Terrabacteria group,Firmicutes,GCA_000607765.1 ,2.8811,32.9,-,JGON01,5,3019,2852,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/765/GCF_000607765.1_Stap_aure_DAR3596_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/765/GCA_000607765.1_Stap_aure_DAR3596_V1
Staphylococcus aureus DAR3599,DAR3599,19988,SAMN02403694 ,PRJNA228225,Terrabacteria group,Firmicutes,GCA_000607785.1 ,2.90326,32.8,-,JGOO01,11,3049,2887,2014/3/27,2017/3/4,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/785/GCF_000607785.1_Stap_aure_DAR3599_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/785/GCA_000607785.1_Stap_aure_DAR3599_V1
Staphylococcus aureus DAR3608,DAR3608,19988,SAMN02403695 ,PRJNA228226,Terrabacteria group,Firmicutes,GCA_000607805.1 ,2.85975,32.8,-,JGOP01,35,3014,2846,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/805/GCF_000607805.1_Stap_aure_DAR3608_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/805/GCA_000607805.1_Stap_aure_DAR3608_V1
Staphylococcus aureus DAR3609,DAR3609,19988,SAMN02403696 ,PRJNA228227,Terrabacteria group,Firmicutes,GCA_000607825.1 ,2.92857,32.9,-,JGOQ01,36,3083,2903,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/825/GCF_000607825.1_Stap_aure_DAR3609_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/825/GCA_000607825.1_Stap_aure_DAR3609_V1
Staphylococcus aureus DAR3612,DAR3612,19988,SAMN02403697 ,PRJNA228228,Terrabacteria group,Firmicutes,GCA_000607845.1 ,2.89654,32.9,-,JGOR01,15,3037,2869,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/845/GCF_000607845.1_Stap_aure_DAR3612_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/845/GCA_000607845.1_Stap_aure_DAR3612_V1
Staphylococcus aureus DAR3613,DAR3613,19988,SAMN02403698 ,PRJNA228229,Terrabacteria group,Firmicutes,GCA_000607865.1 ,2.95166,33,-,JGOS01,13,3118,2941,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/865/GCF_000607865.1_Stap_aure_DAR3613_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/865/GCA_000607865.1_Stap_aure_DAR3613_V1
Staphylococcus aureus DAR3616,DAR3616,19988,SAMN02403699 ,PRJNA228230,Terrabacteria group,Firmicutes,GCA_000607885.1 ,2.93152,32.9,-,JGOT01,21,3093,2916,2014/3/27,2017/3/4,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/885/GCF_000607885.1_Stap_aure_DAR3616_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/885/GCA_000607885.1_Stap_aure_DAR3616_V1
Staphylococcus aureus DAR3617,DAR3617,19988,SAMN02403700 ,PRJNA228231,Terrabacteria group,Firmicutes,GCA_000607905.1 ,2.93779,32.9,-,JGOU01,21,3118,2951,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/905/GCF_000607905.1_Stap_aure_DAR3617_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/905/GCA_000607905.1_Stap_aure_DAR3617_V1
Staphylococcus aureus DAR3624,DAR3624,19988,SAMN02403701 ,PRJNA228232,Terrabacteria group,Firmicutes,GCA_000607925.1 ,2.79776,32.9,-,JGOV01,11,2905,2748,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/925/GCF_000607925.1_Stap_aure_DAR3624_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/925/GCA_000607925.1_Stap_aure_DAR3624_V1
Staphylococcus aureus DAR3627,DAR3627,19988,SAMN02403702 ,PRJNA228233,Terrabacteria group,Firmicutes,GCA_000607945.1 ,2.88853,32.8,-,JGOW01,9,3029,2856,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/945/GCF_000607945.1_Stap_aure_DAR3627_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/945/GCA_000607945.1_Stap_aure_DAR3627_V1
Staphylococcus aureus DAR3628,DAR3628,19988,SAMN02403703 ,PRJNA228234,Terrabacteria group,Firmicutes,GCA_000607965.1 ,2.85331,32.8,-,JGOX01,10,2973,2814,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/965/GCF_000607965.1_Stap_aure_DAR3628_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/965/GCA_000607965.1_Stap_aure_DAR3628_V1
Staphylococcus aureus DAR3629,DAR3629,19988,SAMN02403704 ,PRJNA228236,Terrabacteria group,Firmicutes,GCA_000607985.1 ,2.79824,32.8,-,JGOY01,7,2887,2724,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/607/985/GCF_000607985.1_Stap_aure_DAR3629_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/607/985/GCA_000607985.1_Stap_aure_DAR3629_V1
Staphylococcus aureus DAR3632,DAR3632,19988,SAMN02403705 ,PRJNA228237,Terrabacteria group,Firmicutes,GCA_000608005.1 ,2.81,32.8,-,JGOZ01,11,2929,2764,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/005/GCF_000608005.1_Stap_aure_DAR3632_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/005/GCA_000608005.1_Stap_aure_DAR3632_V1
Staphylococcus aureus DAR3752,DAR3752,19988,SAMN02403706 ,PRJNA228239,Terrabacteria group,Firmicutes,GCA_000608025.1 ,2.86669,32.8,-,JGPA01,9,3012,2853,2014/3/27,2017/3/4,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/025/GCF_000608025.1_Stap_aure_DAR3752_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/025/GCA_000608025.1_Stap_aure_DAR3752_V1
Staphylococcus aureus DAR3758,DAR3758,19988,SAMN02403707 ,PRJNA228240,Terrabacteria group,Firmicutes,GCA_000608045.1 ,2.83788,32.8,-,JGPB01,17,2956,2803,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/045/GCF_000608045.1_Stap_aure_DAR3758_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/045/GCA_000608045.1_Stap_aure_DAR3758_V1
Staphylococcus aureus DAR3760,DAR3760,19988,SAMN02403708 ,PRJNA228241,Terrabacteria group,Firmicutes,GCA_000608065.1 ,2.90709,32.9,-,JGPC01,5,3070,2903,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/065/GCF_000608065.1_Stap_aure_DAR3760_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/065/GCA_000608065.1_Stap_aure_DAR3760_V1
Staphylococcus aureus DAR3761,DAR3761,19988,SAMN02403709 ,PRJNA228242,Terrabacteria group,Firmicutes,GCA_000608085.1 ,2.90849,33.1,-,JGPD01,12,3042,2876,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/085/GCF_000608085.1_Stap_aure_DAR3761_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/085/GCA_000608085.1_Stap_aure_DAR3761_V1
Staphylococcus aureus DAR3762,DAR3762,19988,SAMN02403710 ,PRJNA228243,Terrabacteria group,Firmicutes,GCA_000608105.1 ,2.8619,32.9,-,JGPE01,9,3009,2852,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/105/GCF_000608105.1_Stap_aure_DAR3762_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/105/GCA_000608105.1_Stap_aure_DAR3762_V1
Staphylococcus aureus DAR3765,DAR3765,19988,SAMN02403711 ,PRJNA228244,Terrabacteria group,Firmicutes,GCA_000608125.1 ,2.7954,32.8,-,JGPF01,9,2894,2733,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/125/GCF_000608125.1_Stap_aure_DAR3765_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/125/GCA_000608125.1_Stap_aure_DAR3765_V1
Staphylococcus aureus DAR3767,DAR3767,19988,SAMN02403712 ,PRJNA228245,Terrabacteria group,Firmicutes,GCA_000608145.1 ,2.90094,32.9,-,JGPG01,13,3050,2883,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/145/GCF_000608145.1_Stap_aure_DAR3767_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/145/GCA_000608145.1_Stap_aure_DAR3767_V1
Staphylococcus aureus DAR3772,DAR3772,19988,SAMN02403714 ,PRJNA228247,Terrabacteria group,Firmicutes,GCA_000608165.1 ,2.90791,32.9,-,JGPH01,17,3068,2893,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/165/GCF_000608165.1_Stap_aure_DAR3772_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/165/GCA_000608165.1_Stap_aure_DAR3772_V1
Staphylococcus aureus DAR3776,DAR3776,19988,SAMN02403715 ,PRJNA228248,Terrabacteria group,Firmicutes,GCA_000608185.1 ,2.89993,32.7,-,JGPI01,14,3054,2883,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/185/GCF_000608185.1_Stap_aure_DAR3776_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/185/GCA_000608185.1_Stap_aure_DAR3776_V1
Staphylococcus aureus DAR3779,DAR3779,19988,SAMN02403716 ,PRJNA228249,Terrabacteria group,Firmicutes,GCA_000608205.1 ,2.89898,32.9,-,JGPJ01,13,3041,2874,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/205/GCF_000608205.1_Stap_aure_DAR3779_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/205/GCA_000608205.1_Stap_aure_DAR3779_V1
Staphylococcus aureus DAR3781,DAR3781,19988,SAMN02403717 ,PRJNA228250,Terrabacteria group,Firmicutes,GCA_000608225.1 ,2.91609,32.9,-,JGPK01,10,3066,2899,2014/3/27,2017/3/4,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/225/GCF_000608225.1_Stap_aure_DAR3781_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/225/GCA_000608225.1_Stap_aure_DAR3781_V1
Staphylococcus aureus DAR3782,DAR3782,19988,SAMN02403718 ,PRJNA228251,Terrabacteria group,Firmicutes,GCA_000608245.1 ,2.93722,32.9,-,JGPL01,9,3091,2927,2014/3/27,2017/3/4,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/245/GCF_000608245.1_Stap_aure_DAR3782_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/245/GCA_000608245.1_Stap_aure_DAR3782_V1
Staphylococcus aureus DAR3788,DAR3788,19988,SAMN02403719 ,PRJNA228252,Terrabacteria group,Firmicutes,GCA_000608265.1 ,2.88076,32.8,-,JGPM01,9,3030,2869,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/265/GCF_000608265.1_Stap_aure_DAR3788_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/265/GCA_000608265.1_Stap_aure_DAR3788_V1
Staphylococcus aureus DAR3790,DAR3790,19988,SAMN02403720 ,PRJNA228253,Terrabacteria group,Firmicutes,GCA_000608285.1 ,2.94831,33,-,JGPN01,16,3083,2903,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/285/GCF_000608285.1_Stap_aure_DAR3790_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/285/GCA_000608285.1_Stap_aure_DAR3790_V1
Staphylococcus aureus DAR3794,DAR3794,19988,SAMN02403721 ,PRJNA228254,Terrabacteria group,Firmicutes,GCA_000608305.1 ,2.92757,32.9,-,JGPO01,18,3073,2900,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/305/GCF_000608305.1_Stap_aure_DAR3794_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/305/GCA_000608305.1_Stap_aure_DAR3794_V1
Staphylococcus aureus DAR3796,DAR3796,19988,SAMN02403722 ,PRJNA228255,Terrabacteria group,Firmicutes,GCA_000608325.1 ,2.84518,32.7,-,JGPP01,13,2984,2817,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/325/GCF_000608325.1_Stap_aure_DAR3796_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/325/GCA_000608325.1_Stap_aure_DAR3796_V1
Staphylococcus aureus DAR3799,DAR3799,19988,SAMN02403723 ,PRJNA228256,Terrabacteria group,Firmicutes,GCA_000608345.1 ,2.85371,32.8,-,JGPQ01,16,3007,2845,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/345/GCF_000608345.1_Stap_aure_DAR3799_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/345/GCA_000608345.1_Stap_aure_DAR3799_V1
Staphylococcus aureus DAR3840,DAR3840,19988,SAMN02403724 ,PRJNA228257,Terrabacteria group,Firmicutes,GCA_000608365.1 ,2.86195,32.9,-,JGPR01,9,3001,2845,2014/3/27,2017/3/4,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/365/GCF_000608365.1_Stap_aure_DAR3840_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/365/GCA_000608365.1_Stap_aure_DAR3840_V1
Staphylococcus aureus DAR3842,DAR3842,19988,SAMN02403725 ,PRJNA228258,Terrabacteria group,Firmicutes,GCA_000608385.1 ,2.84267,32.8,-,JGPS01,9,2996,2836,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/385/GCF_000608385.1_Stap_aure_DAR3842_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/385/GCA_000608385.1_Stap_aure_DAR3842_V1
Staphylococcus aureus DAR3844,DAR3844,19988,SAMN02403726 ,PRJNA228259,Terrabacteria group,Firmicutes,GCA_000608405.1 ,2.89032,32.9,-,JGPT01,12,3014,2853,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/405/GCF_000608405.1_Stap_aure_DAR3844_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/405/GCA_000608405.1_Stap_aure_DAR3844_V1
Staphylococcus aureus DAR3845,DAR3845,19988,SAMN02403727 ,PRJNA228260,Terrabacteria group,Firmicutes,GCA_000608425.1 ,2.8921,32.9,-,JGPU01,5,3035,2872,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/425/GCF_000608425.1_Stap_aure_DAR3845_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/425/GCA_000608425.1_Stap_aure_DAR3845_V1
Staphylococcus aureus DAR3847,DAR3847,19988,SAMN02403728 ,PRJNA228261,Terrabacteria group,Firmicutes,GCA_000608445.1 ,2.94435,32.9,-,JGPV01,17,3110,2937,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/445/GCF_000608445.1_Stap_aure_DAR3847_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/445/GCA_000608445.1_Stap_aure_DAR3847_V1
Staphylococcus aureus DAR3859,DAR3859,19988,SAMN02403729 ,PRJNA228262,Terrabacteria group,Firmicutes,GCA_000608465.1 ,2.89215,32.9,-,JGPW01,18,3017,2846,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/465/GCF_000608465.1_Stap_aure_DAR3859_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/465/GCA_000608465.1_Stap_aure_DAR3859_V1
Staphylococcus aureus DAR3861,DAR3861,19988,SAMN02403730 ,PRJNA228263,Terrabacteria group,Firmicutes,GCA_000608485.1 ,2.84554,32.8,-,JGPX01,12,2968,2803,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/485/GCF_000608485.1_Stap_aure_DAR3861_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/485/GCA_000608485.1_Stap_aure_DAR3861_V1
Staphylococcus aureus DAR3862,DAR3862,19988,SAMN02403731 ,PRJNA228264,Terrabacteria group,Firmicutes,GCA_000608505.1 ,2.95292,32.9,-,JGPY01,12,3108,2935,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/505/GCF_000608505.1_Stap_aure_DAR3862_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/505/GCA_000608505.1_Stap_aure_DAR3862_V1
Staphylococcus aureus DAR3864,DAR3864,19988,SAMN02403732 ,PRJNA228265,Terrabacteria group,Firmicutes,GCA_000608525.1 ,2.89555,32.8,-,JGPZ01,17,3052,2881,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/525/GCF_000608525.1_Stap_aure_DAR3864_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/525/GCA_000608525.1_Stap_aure_DAR3864_V1
Staphylococcus aureus DAR3868,DAR3868,19988,SAMN02403733 ,PRJNA228266,Terrabacteria group,Firmicutes,GCA_000608545.1 ,2.85147,32.9,-,JGQA01,12,2987,2822,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/545/GCF_000608545.1_Stap_aure_DAR3868_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/545/GCA_000608545.1_Stap_aure_DAR3868_V1
Staphylococcus aureus DAR3870,DAR3870,19988,SAMN02403734 ,PRJNA228267,Terrabacteria group,Firmicutes,GCA_000608565.1 ,2.85133,32.9,-,JGQB01,6,2972,2811,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/565/GCF_000608565.1_Stap_aure_DAR3870_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/565/GCA_000608565.1_Stap_aure_DAR3870_V1
Staphylococcus aureus DAR3871,DAR3871,19988,SAMN02403735 ,PRJNA228268,Terrabacteria group,Firmicutes,GCA_000608585.1 ,2.9301,32.9,-,JGQC01,7,3085,2908,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/585/GCF_000608585.1_Stap_aure_DAR3871_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/585/GCA_000608585.1_Stap_aure_DAR3871_V1
Staphylococcus aureus DAR3885,DAR3885,19988,SAMN02403736 ,PRJNA228269,Terrabacteria group,Firmicutes,GCA_000608605.1 ,2.92343,32.8,-,JGQD01,33,3077,2899,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/605/GCF_000608605.1_Stap_aure_DAR3885_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/605/GCA_000608605.1_Stap_aure_DAR3885_V1
Staphylococcus aureus DAR3886,DAR3886,19988,SAMN02403737 ,PRJNA228270,Terrabacteria group,Firmicutes,GCA_000608625.1 ,2.89562,32.9,-,JGQE01,4,3037,2872,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/625/GCF_000608625.1_Stap_aure_DAR3886_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/625/GCA_000608625.1_Stap_aure_DAR3886_V1
Staphylococcus aureus DAR3891,DAR3891,19988,SAMN02403738 ,PRJNA228271,Terrabacteria group,Firmicutes,GCA_000608645.1 ,2.94614,32.9,-,JGQF01,11,3098,2923,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/645/GCF_000608645.1_Stap_aure_DAR3891_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/645/GCA_000608645.1_Stap_aure_DAR3891_V1
Staphylococcus aureus DAR3892,DAR3892,19988,SAMN02403739 ,PRJNA228272,Terrabacteria group,Firmicutes,GCA_000608665.1 ,2.84564,32.9,-,JGQG01,12,2961,2793,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/665/GCF_000608665.1_Stap_aure_DAR3892_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/665/GCA_000608665.1_Stap_aure_DAR3892_V1
Staphylococcus aureus DAR3894,DAR3894,19988,SAMN02403740 ,PRJNA228273,Terrabacteria group,Firmicutes,GCA_000608685.1 ,2.9023,32.8,-,JGQH01,20,3054,2891,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/685/GCF_000608685.1_Stap_aure_DAR3894_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/685/GCA_000608685.1_Stap_aure_DAR3894_V1
Staphylococcus aureus DAR3897,DAR3897,19988,SAMN02403741 ,PRJNA228274,Terrabacteria group,Firmicutes,GCA_000608705.1 ,2.84906,32.8,-,JGQI01,17,2966,2791,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/705/GCF_000608705.1_Stap_aure_DAR3897_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/705/GCA_000608705.1_Stap_aure_DAR3897_V1
Staphylococcus aureus DAR3901,DAR3901,19988,SAMN02403742 ,PRJNA228275,Terrabacteria group,Firmicutes,GCA_000608725.1 ,2.80559,32.8,-,JGQJ01,7,2899,2739,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/725/GCF_000608725.1_Stap_aure_DAR3901_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/725/GCA_000608725.1_Stap_aure_DAR3901_V1
Staphylococcus aureus DAR3902,DAR3902,19988,SAMN02403743 ,PRJNA228276,Terrabacteria group,Firmicutes,GCA_000608745.1 ,2.90124,32.8,-,JGQK01,16,3053,2876,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/745/GCF_000608745.1_Stap_aure_DAR3902_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/745/GCA_000608745.1_Stap_aure_DAR3902_V1
Staphylococcus aureus DAR3911,DAR3911,19988,SAMN02403745 ,PRJNA228278,Terrabacteria group,Firmicutes,GCA_000608765.1 ,2.88678,32.8,-,JGQL01,20,3035,2867,2014/3/27,2017/3/3,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/608/765/GCF_000608765.1_Stap_aure_DAR3911_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/608/765/GCA_000608765.1_Stap_aure_DAR3911_V1
